Stock,start_price,end_price,start_date,end_date,Sector,Years,CAGR
SAR,0.4248,3.76,2010-01-04,2020-04-01,Materials,10.239561943874058,0.23732774400734113
SCG,1.5855,1.76,2010-12-13,2020-04-01,Real Estate,9.300479123887747,0.01128998906538814
SEK,5.3325,15.75,2010-01-04,2020-04-01,Communication Services,10.239561943874058,0.11156420324918148
SGP,2.0838,2.65,2010-01-04,2020-04-01,Real Estate,10.239561943874058,0.02375198408988033
SGR,3.2561,2.27,2011-06-06,2020-04-01,Consumer Discretionary,8.821355236139631,-0.040070192209364364
SHL,10.0921,24.6,2010-01-04,2020-04-01,Healthcare,10.239561943874058,0.09091283243168968
SKI,0.6389,1.96,2010-01-04,2020-04-01,Utilities,10.239561943874058,0.11568953720792341
SOL,10.3087,17.2,2010-01-04,2020-04-01,Energy,10.239561943874058,0.051265253345979866
SPK,0.7368,4.21,2010-01-04,2020-04-01,Communication Services,10.239561943874058,0.1855567558703619
STO,9.6492,3.75,2010-01-04,2020-04-01,Energy,10.239561943874058,-0.08816911800124716
SUN,5.2031,9.43,2010-01-04,2020-04-01,Financials,10.239561943874058,0.05979229708548184
SVW,4.4301,11.78,2010-01-04,2020-04-01,Industrials,10.239561943874058,0.10021987358155005
SYD,1.765,5.8,2010-01-04,2020-04-01,Industrials,10.239561943874058,0.12320624779647327
TAH,1.5147,2.68,2010-01-04,2020-04-01,Consumer Discretionary,10.239561943874058,0.05730686429227716
TCL,3.276,12.25,2010-01-04,2020-04-01,Industrials,10.239561943874058,0.13746785130246142
TLS,1.8182,3.2,2010-01-04,2020-04-01,Communication Services,10.239561943874058,0.05676019913779551
TPM,1.3661,7.3098,2010-01-04,2020-04-01,Communication Services,10.239561943874058,0.17798050221494965
TWE,2.6342,10.17,2011-05-10,2020-04-01,Consumer Staples,8.895277207392198,0.16400065231791894
VCX,1.0677,1.155,2011-12-05,2020-04-01,Real Estate,8.323066392881588,0.009487583382101539
VEA,2.2775,1.295,2018-07-13,2020-04-01,Energy,1.7193702943189597,-0.2798942645138651
WBC,13.6064,16.7,2010-01-04,2020-04-01,Financials,10.239561943874058,0.02020903276868835
WES,11.8807,35.68,2010-01-04,2020-04-01,Consumer Staples,10.239561943874058,0.11337365872244898
WOR,20.1116,7.04,2010-01-04,2020-04-01,Energy,10.239561943874058,-0.09743361712052068
WOW,18.5577,36.01,2010-01-04,2020-04-01,Consumer Staples,10.239561943874058,0.06688187418745506
WPL,29.3446,19.64,2010-01-04,2020-04-01,Energy,10.239561943874058,-0.0384556523587235
WTC,3.8612,15.9,2016-04-11,2020-04-01,Information Technology,3.972621492128679,0.42799853042984726
XRO,4.48,69.5,2012-11-08,2020-04-01,Information Technology,7.394934976043806,0.44882700691164534
